,Step,Polarization,NeighborCorrelationIndex,EchoChamberEffect
0,0,0.24,0.84,-0.75
1,1,0.22,0.92,-0.6296296296296297
2,2,0.2,0.92,-0.6111111111111112
3,3,0.1,1.04,-0.6018518518518519
4,4,0.08,1.16,-0.5462962962962963
5,5,0.06,1.2,-0.5833333333333334
6,6,0.08,1.32,-0.5648148148148148
7,7,-0.02,1.44,-0.5925925925925926
8,8,0.02,1.44,-0.6388888888888888
9,9,0.04,1.4,-0.6574074074074074
10,10,0.06,1.52,-0.6388888888888888
11,11,0.06,1.52,-0.6388888888888888
12,12,-0.02,1.56,-0.6018518518518519
13,13,-0.02,1.56,-0.6018518518518519
14,14,-0.08,1.68,-0.6018518518518519
15,15,-0.06,1.68,-0.6018518518518519
16,16,-0.06,1.68,-0.6018518518518519
17,17,-0.06,1.68,-0.6018518518518519
18,18,-0.04,1.76,-0.5833333333333334
19,19,-0.04,1.76,-0.5833333333333334
20,20,-0.04,1.76,-0.5833333333333334
21,21,-0.04,1.76,-0.5833333333333334
22,22,-0.12,1.76,-0.6018518518518519
23,23,-0.1,1.88,-0.6018518518518519
24,24,-0.1,1.88,-0.6018518518518519
25,25,-0.1,1.88,-0.6018518518518519
26,26,-0.1,1.88,-0.6018518518518519
27,27,-0.1,1.88,-0.6018518518518519
28,28,-0.16,1.88,-0.5370370370370371
29,29,-0.16,1.88,-0.5370370370370371
